REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
596,Tanzania,TZA,Africa,3/15/2006,7/13/2006,2006,Drought,Natural Hydrometeorologic climatological,Emergency appeal,74000,1862590
597,Tanzania,TZA,Africa,11/1/2006,2/1/2007,2006,Heavy rains in Kigoma ,Natural Hydrometeorologic hydrological,DREF,2500,30470
598,Tanzania,TZA,Africa,5/1/2006,11/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,DREF,3000,73000
599,Tanzania,TZA,Africa,6/1/2006,10/1/2006,2006,Malaria Outbreak in Kagera,Natural Biological,DREF,2330,42500
600,Tanzania,TZA,Africa,5/1/2007,4/30/2008,2007,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,53000,980269
602,Uganda,UGA,Africa,8/1/2006,11/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,DREF,2995,41393
603,Uganda,UGA,Africa,6/1/2006,12/1/2006,2006,Cholera Outbreak,Natural Biological,DREF,134655,35847
604,Ukraine,UKR,Europe,7/1/2006,12/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,DREF,2776,98000
605,Yemen,YEM,Middle East and North Africa,2/1/2006,1/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,857,63900
608,India,IND,Asia Pacific,8/1/2006,12/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,DREF,10000,100000
609,Iran,IRN,Middle East and North Africa,4/1/2006,,2006,Doroud Earthquake,Natural Hydrometeorologic hydrological,Information bulletin,,
610,Jamaica,JAM,Americas,1/1/2006,4/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,5015,25000
612,Myanmar,MMR,Asia Pacific,1/1/2006,12/1/2006,2006,Cyclone Mala,Natural Hydrometeorologic hydrological,DREF,20000,50000
613,Mozambique,MOZ,Africa,4/1/2006,7/1/2006,2006,Cholera,Natural Biological,DREF,19500,50000
614,Namibia,NAM,Africa,1/1/2006,4/1/2008,2006,Polio outbreak,Natural Biological,DREF,17000,55247
615,Panama,PAN,Americas,1/1/2006,4/1/2008,2006,Floods,Natural Hydrometeorologic hydrological,DREF,1900,67912
616,Panama,PAN,Americas,1/1/2006,4/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,13750,69508
617,Guinea,GIN,Asia Pacific,10/1/2006,7/1/2007,2006,Mount Tavurvur volcano,Natural Hydrometeorologic hydrological,DREF,2000,18114
618,El Salvador,SLV,Americas,1/1/2006,4/1/2008,2006, Seismic Swarm,Natural Hydrometeorologic hydrological,DREF,3096,60001
619,Swaziland,SWZ,Africa,1/1/2006,7/1/2007,2006,Hailstorm,Natural Hydrometeorologic hydrological,DREF,15776,74251
620,Uganda,UGA,Africa,12/1/2006,12/1/2007,2006,Cholera,Natural Biological,DREF,300000,150000
621,VietNam,VNM,Americas,10/1/2006,2/1/2008,2006,Typhoons,Natural Hydrometeorologic hydrological,Emergency appeal,60750,1350061
622,Zambia,ZMB,Africa,1/1/2006,12/1/2008,2006,Kazungula Floods,Natural Hydrometeorologic hydrological,DREF,1500,60000
