ARC_num,DisasterName,Date,Region,Country,ADM0_A3,TotalAffected,Money,PeopleDeployed,TotalSupplies,HygieneKits,Blankets,JerryCans,Buckets,Tents,KitchenSets,SleepingMats,MosquitoNets,FoodParcels,Tarps,Vehicles,OtherItems,RiceBags,TotalContributions
165,Solomon Islands Tsunami/ Earthquake,4/1/2007,Europe/Asia,Solomon Islands,SLB,,50000,,,,,,,,,,,,,,,,50000
166,Colombia Tolima Floods,5/1/2007,LAC,Colombia,COL,,5000,,,,,,,,,,,,,,,,5000
167,Mexico Coahuila Tornado,5/1/2007,LAC,Mexico,MEX,,20000,,,,,,,,,,,,,,,,20000
169,Sudan Conflict,6/1/2007,Africa,Sudan,SDN,,200000,,,,,,,,,,,,,,,,200000
168,Somalia Conflict,6/1/2007,Africa,Somalia,SOM,,100000,,,,,,,,,,,,,,,,100000
171,Bangladesh Floods,7/1/2007,Europe/Asia,Bangladesh,BGD,2300000,124500,,,,,,,,,,,,,,,,124500
174,United Kingdom Floods,7/1/2007,Europe/Asia,United Kingdom,GBR,1000000,20188,,,,,,,,,,,,,,,,20188
172,Iraq Conflict,7/1/2007,Europe/Asia,Iraq,IRQ,2000000,250000,,,,,,,,,,,,,,,,250000
170,Pakistan Cyclone Yemyin,7/1/2007,Europe/Asia,Pakistan,PAK,1500000,285000,1,,,,,,,,,,,,,,,295000
173,Sudan Floods,7/1/2007,Africa,Sudan,SDN,365000,100000,1,10000,,,,,,,,10000,,,,,,153400
177,Hurricane Dean,8/1/2007,LAC,Haiti,HTI,,2500,1,,,,,,,,,,,,,,,2500
177,Hurricane Dean,8/1/2007,LAC,Jamaica,JAM,210000,0,,2350,1000,,,,,1000,,,,350,,,,34565
177,Hurricane Dean,8/1/2007,LAC,Mexico,MEX,,298680,1,,,,,,,,,,,,,,,298680
175,Nepal Floods,8/1/2007,Europe/Asia,Nepal,NPL,645000,50000,,,,,,,,,,,,,,,,50000
176,Peru Earthquake,8/1/2007,LAC,Peru,PER,655000,300000,6,16500,3500,,,,,2000,,,,11000,,,,3400000
178,Greece Wildfire,9/1/2007,Europe/Asia,Greece,GRC,,40000,,,,,,,,,,,,,,,,40000
179,Hurricane Felix,9/1/2007,LAC,Honduras,HND,,22500,,,,,,,,,,,,,,,,22500
179,Hurricane Felix,9/1/2007,LAC,Honduras,HND,,47500,,,,,,,,,,,,,,,,47500
180,Indonesia Bengkulu Earthquake,9/1/2007,Europe/Asia,Indonesia,IDN,,3000,,,,,,,,,,,,,,,,3000
179,Hurricane Felix,9/1/2007,LAC,Nicaragua,NIC,175000,50000,,,,,,,,,,,,,,,,50000
182,Togo Floods,9/1/2007,Africa,Togo,TGO,185000,19970,,,,,,,,,,,,,,,,19970
181,Uganda Floods,9/1/2007,Africa,Uganda,UGA,450000,0,3,,,,,,,,,,,,,,,17400
183,Tropical Storm Noel,10/1/2007,LAC,Dominican Republic,DOM,200000,35000,,4000,1000,,,,,1000,,,,2000,,,,104055
186,Bangladesh Cyclone Sidr,11/1/2007,Europe/Asia,Bangladesh,BGD,8500000,1083856,3,39000,4000,25000,,,,,,,,10000,,,,1356654
183,Tropical Storm Noel,11/1/2007,LAC,Haiti,HTI,,50000,,2000,,2000,,,,,,,,,,,,58073
184,Mexico Floods,11/1/2007,LAC,Mexico,MEX,1000000,517077,1,15500,3500,,,,,2000,,10000,,,,,,1900000
187,Papua New Guinea Storm,11/1/2007,Europe/Asia,Papua New Guinea,PNG,162000,23750,,,,,,,,,,,,,,,,23750
185,Vietnam Typhoon Lekima,11/1/2007,Europe/Asia,Vietnam,VNM,600000,115000,,,,,,,,,,,,,,,,115000
183,Tropical Storm Noel,11/1/2007,LAC,Bahamas,BHS,,30000,2,,,,,,,,,,,,,,,37440
188,Kenya Election Civil Unrest,1/1/2008,Africa,Kenya,KEN,500000,300000,,,,,,,,,,,,,,,,300000
189,China Snow Disaster,2/1/2008,Europe/Asia,China,CHN,7800000,867000,,,,,,,,,,,,,,,,867000
192,Ecuador Floods,2/1/2008,LAC,Ecuador,ECU,315000,245000,,,,,,,,,,,,,,,,245000
190,Guyana Civil Unrest,2/1/2008,Africa,Guyana,GUY,,2400,2,,,,,,,,,,,,,,,12400
191,Sudan Conflict,2/1/2008,Africa,Sudan,SDN,2000000,714000,,,,,,,,,,,,,,,,714000
193,Iraq Conflict,3/8/2008,Europe/Asia,Iraq,IRQ,4000000,269000,,,,,,,,,,,,,,,,269000
194,Madagascar Cyclone Ivan,3/8/2008,Africa,Madagascar,MDG,322000,0,,10000,,,,,,,,10000,,,,,,50000
195,Southern Africa Floods - Cyclone Jokwe,3/8/2008,Africa,Mozambique,MOZ,400000,300000,,,,,,,,,,,,,,,,300000
196,Southern Africa Floods - Cyclone Jokwe,3/8/2008,Africa,Tanzania,TZA,2700,48500,,,,,,,,,,,,,,,,48500
198,China Sichuan Earthquake,5/8/2008,Europe/Asia,China,CHN,10000000,46003198,3,,,,,,,,,,,,,,,55000000
197,Myanmar Cyclone Nargis,5/8/2008,Europe/Asia,Myanmar,MMR,2400000,250000,1,205000,,25000,,,,5000,,20000,,9995,,,,3400000
201,Chile Floods,6/8/2008,LAC,Chile,CHL,50000,2000,1,,,,,,,,,,,,,,,2000
199,Ethiopia Food Insecurity,6/8/2008,Africa,Ethiopia,ETH,4500000,100000,,,,,,,,,,,,,,,,100000
202,Typhoon Fengshen - Philippines,6/8/2008,Europe/Asia,Philippines,PHL,4800000,185000,1,,,,,,,,,,,,,,,185000
200,South Africa Civil Unrest,6/8/2008,Africa,South Africa,ZAF,50000,0,1,,,,,,,,,,,,,,,10000
204,Suriname Floods,7/1/2008,LAC,Suriname,SUR,49090,,2,,,,,,,,,,,,,,,0
203,Yemen Conflict,7/8/2008,Europe/Asia,Yemen,YEM,77000,50000,,,,,,,,,,,,,,,,50000
206,Georgia Conflict,8/1/2008,Europe/Asia,Georgia,GEO,72000,100000,,,,,,,,,,,,,,,,100000
205,Moldova and Ukraine Floods,8/1/2008,Europe/Asia,Ukraine,UKR,30000,44250,,,,,,,,,,,,,,,,44250
210,Cuba Hurricane Season 2008,9/8/2008,LAC,Cuba,CUB,2900000,1129943,,,,,,,,,,,,,,,,1129943
208,Haiti Hurricane Season 2008,9/8/2008,LAC,Haiti,HTI,800000,283682,5,19100,4000,,,4800,,3000,,6000,,1300,,,,1532876
209,Carribean Hurricane Season 2008 -  Jamaica,9/8/2008,LAC,Jamaica,JAM,4000,,,,,,,,,,,,,,,,,0
207,Nepal Floods,9/8/2008,Europe/Asia,Nepal,NPL,70000,50000,,,,,,,,,,,,,,,,50000
209,Carribean Hurricane Season 2008 - Bahamas,9/8/2008,LAC,Bahamas,BHS,9750,121044,1,,,,,,,,,,,,,,,121044
211,Central America Floods,10/1/2008,LAC,Guatemala,GTM,,,,,,,,,,,,,,,,,,0
211,Central America Floods,10/1/2008,LAC,Honduras,HND,,,,,,,,,,,,,,,,,,0
211,Central America Floods,10/1/2008,LAC,Nicaragua,NIC,,,,,,,,,,,,,,,,,,0
212,Pakistan Baluchistan Earthquake,11/8/2008,Europe/Asia,Pakistan,PAK,366000,100000,,,,,,,,,,,,,,,,100000
213,Vietnam Floods,11/8/2008,Europe/Asia,Vietnam,VNM,600000,50000,,,,,,,,,,,,,,,,50000
